timestamp,time_seconds,timestamp_ns,tracker_left_x,tracker_left_y,tracker_left_z,tracker_left_qw,tracker_left_qx,tracker_left_qy,tracker_left_qz,tracker_right_x,tracker_right_y,tracker_right_z,tracker_right_qw,tracker_right_qx,tracker_right_qy,tracker_right_qz,tracker_head_x,tracker_head_y,tracker_head_z,tracker_head_qw,tracker_head_qx,tracker_head_qy,tracker_head_qz
2026-03-27T18:04:08.679283+00:00,0.667326,1774634648679283000,1.461848,0.54651,0.794814,0.445687,-0.746453,-0.43445,0.232588,-0.177707,-0.185838,0.342495,0.315564,0.355839,-0.531345,-0.70319,0.459314,0.328598,0.433987,0.591244,-0.118015,-0.756818,-0.250768
2026-03-27T18:04:08.696240+00:00,0.684283,1774634648696240200,1.461918,0.546247,0.794891,0.445529,-0.748113,-0.434731,0.232392,-0.17844,-0.185337,0.343115,0.318909,0.354938,-0.532241,-0.697502,0.459392,0.328451,0.434083,0.590485,-0.11823,-0.75826,-0.251356
2026-03-27T18:04:08.713359+00:00,0.701402,1774634648713359400,1.462025,0.546117,0.794926,0.44609,-0.748001,-0.434315,0.232006,-0.179263,-0.184765,0.343385,0.320495,0.356883,-0.538705,-0.695038,0.4595,0.328316,0.434241,0.590439,-0.118264,-0.757676,-0.251175
2026-03-27T18:04:08.730326+00:00,0.718369,1774634648730326400,1.462066,0.545852,0.794998,0.447065,-0.746465,-0.433696,0.231247,-0.180113,-0.184065,0.343727,0.32254,0.357298,-0.54395,-0.690434,0.459634,0.328167,0.43437,0.589835,-0.118457,-0.758423,-0.251479
2026-03-27T18:04:08.747455+00:00,0.735497,1774634648747454700,1.462166,0.545769,0.795016,0.447269,-0.74672,-0.433916,0.231021,-0.180866,-0.183335,0.344131,0.325315,0.355846,-0.54655,-0.683074,0.459668,0.328071,0.4345,0.589521,-0.118599,-0.758696,-0.251839
2026-03-27T18:04:08.764449+00:00,0.752492,1774634648764449300,1.462207,0.545592,0.795072,0.447226,-0.747191,-0.434474,0.230792,-0.181369,-0.182677,0.344362,0.325679,0.355179,-0.552408,-0.680915,0.459684,0.327994,0.434671,0.589431,-0.118632,-0.758142,-0.251663
2026-03-27T18:04:08.781488+00:00,0.769531,1774634648781488000,1.462271,0.545556,0.7951,0.447173,-0.747318,-0.434867,0.230606,-0.181791,-0.182017,0.34475,0.326393,0.354114,-0.55699,-0.678221,0.459809,0.327866,0.434852,0.588669,-0.118743,-0.758974,-0.252017
2026-03-27T18:04:08.798457+00:00,0.7865,1774634648798456800,1.462315,0.545465,0.795127,0.447875,-0.746504,-0.435014,0.23042,-0.182173,-0.181379,0.345125,0.327393,0.352322,-0.560328,-0.674702,0.459868,0.327775,0.435035,0.587993,-0.118858,-0.759688,-0.252072
2026-03-27T18:04:08.815504+00:00,0.803547,1774634648815504100,1.462363,0.545472,0.795138,0.448642,-0.745215,-0.434861,0.229854,-0.182541,-0.180753,0.345554,0.328193,0.351325,-0.564538,-0.671495,0.459992,0.32767,0.435242,0.587293,-0.118994,-0.760433,-0.252136
2026-03-27T18:04:08.832777+00:00,0.82082,1774634648832776800,1.462405,0.545438,0.795161,0.448609,-0.746126,-0.43561,0.229701,-0.182991,-0.180117,0.34586,0.328346,0.351851,-0.570371,-0.669814,0.460012,0.327642,0.435482,0.58725,-0.118762,-0.759215,-0.251694
